models	data_num	acc
dkt	100	0.580449809
dkt	200	0.629524324
dkt	300	0.617541731
dkt	400	0.664851377
dkt	500	0.638823938
dkt	600	0.659810634
dkt	700	0.669223227
dkt	800	0.661323596
dkt	900	0.678324437
dkt	1000	0.66313331
dkt	1100	0.668093782
dkt	1200	0.680702975
dkt	1300	0.694680454
dkt	1400	0.681694597
dkt	1500	0.682483954
dkt	1600	0.680817299
dkt	1700	0.695192674
dkt	1800	0.690442202
dkt	1900	0.69614089
dkt	2000	0.6964598
dkt	2500	0.703802364
dkt	3000	0.708849785
dkt	3500	0.70969209
dkt	4000	0.715702474
dkt	4500	0.713578155
dkt	5000	0.715636193
dkt	5500	0.717434195
dkt	6000	0.71851719
dkt	6500	0.721703565
dkt	7000	0.720690484
dkt	7500	0.720967881
dkt	8000	0.724493518
dkt	8500	0.721982936
dkt	9000	0.723637177
dkt	9500	0.722457454
dkt	10000	0.724083456
dkt	10500	0.724554157
dkt	11000	0.7243547
dkt	11500	0.723785732
dkt	12000	0.724870594
dkt	12500	0.725684587
dkt	13000	0.725258751
dkt	13500	0.72396516
dkt	14000	0.724548591
dkt	14500	0.725831541
dkt	15000	0.724743909
dkt	15500	0.725819884
dkt	16000	0.726766825
dkt	16500	0.72636642
dkt	17000	0.72694476
dkt	17500	0.727257509
dkt	18000	0.727121263
dkt	18500	0.727565191
dkt	19000	0.727490894
dkt	19500	0.72747166
dkvmn	100	0.603739838
dkvmn	200	0.639489231
dkvmn	300	0.664676119
dkvmn	400	0.661809377
dkvmn	500	0.659085722
dkvmn	600	0.67296617
dkvmn	700	0.673909194
dkvmn	800	0.678542949
dkvmn	900	0.689396703
dkvmn	1000	0.689653954
dkvmn	1100	0.686181502
dkvmn	1200	0.690603352
dkvmn	1300	0.696368464
dkvmn	1400	0.691782534
dkvmn	1500	0.692294772
dkvmn	1600	0.692568338
dkvmn	1700	0.698228183
dkvmn	1800	0.700530141
dkvmn	1900	0.693854291
dkvmn	2000	0.698116109
dkvmn	2500	0.704760844
dkvmn	3000	0.711365848
dkvmn	3500	0.710270539
dkvmn	4000	0.710656521
dkvmn	4500	0.713524171
dkvmn	5000	0.72022144
dkvmn	5500	0.715070902
dkvmn	6000	0.713440211
dkvmn	6500	0.715464564
dkvmn	7000	0.715933241
dkvmn	7500	0.713872825
dkvmn	8000	0.71582763
dkvmn	8500	0.719555287
dkvmn	9000	0.717742201
dkvmn	9500	0.719953072
dkvmn	10000	0.720448494
dkvmn	10500	0.719876167
dkvmn	11000	0.71951346
dkvmn	11500	0.720804838
dkvmn	12000	0.72096504
dkvmn	12500	0.722709905
dkvmn	13000	0.722018053
dkvmn	13500	0.72368636
dkvmn	14000	0.721851714
dkvmn	14500	0.722329454
dkvmn	15000	0.722311107
dkvmn	15500	0.723517511
dkvmn	16000	0.723541074
dkvmn	16500	0.723095791
dkvmn	17000	0.722825815
dkvmn	17500	0.722931689
dkvmn	18000	0.723059303
dkvmn	18500	0.72390649
dkvmn	19000	0.723702582
dkvmn	19500	0.724050015
sakt	100	0.600885979
sakt	200	0.632886861
sakt	300	0.641193338
sakt	400	0.648568481
sakt	500	0.665196032
sakt	600	0.669457961
sakt	700	0.680977519
sakt	800	0.674088533
sakt	900	0.679048999
sakt	1000	0.679758595
sakt	1100	0.674780428
sakt	1200	0.68946461
sakt	1300	0.691868915
sakt	1400	0.686126367
sakt	1500	0.69097697
sakt	1600	0.693572076
sakt	1700	0.691737872
sakt	1800	0.688714089
sakt	1900	0.699736492
sakt	2000	0.69677319
sakt	2500	0.700214779
sakt	3000	0.705037861
sakt	3500	0.708445665
sakt	4000	0.70856657
sakt	4500	0.713255271
sakt	5000	0.714952733
sakt	5500	0.718023344
sakt	6000	0.715851195
sakt	6500	0.71653433
sakt	7000	0.720172471
sakt	7500	0.716044876
sakt	8000	0.719959244
sakt	8500	0.719138022
sakt	9000	0.72039341
sakt	9500	0.719514967
sakt	10000	0.719213329
sakt	10500	0.722396473
sakt	11000	0.721457275
sakt	11500	0.722199003
sakt	12000	0.723690682
sakt	12500	0.721903623
sakt	13000	0.724009599
sakt	13500	0.722237124
sakt	14000	0.724101487
sakt	14500	0.72424711
sakt	15000	0.72480241
sakt	15500	0.725088797
sakt	16000	0.725749968
sakt	16500	0.724964327
sakt	17000	0.726013483
sakt	17500	0.72625345
sakt	18000	0.72655665
sakt	18500	0.726324734
sakt	19000	0.726144613
sakt	19500	0.726294779
